restaurant_external_id,restaurant_name,kakao_place_id,kakao_place_url,status,collected_review_count,actual_review_count,review_count_gap,missing_reviews,has_analysis,low_credibility_review_count,high_credibility_review_count,high_credibility_review_ratio,mean_review_credibility_score,min_review_credibility_score,max_review_credibility_score,event_rule_hit_count,credibility_final_score,average_trust_score,credibility_z_score,credibility_percentile_rank,credibility_label
kakao_8641868,박경규항아리보쌈 성대점,8641868,http://place.map.kakao.com/8641868,naver_not_found,0,0,0,True,False,0,0,,,,,0,,0.0,,,5
kakao_140527598,맥주호텔,140527598,http://place.map.kakao.com/140527598,done,50,50,0,False,True,43,7,0.14,0.504718,0.10968,0.996094,0,0.322359,32.24,-0.806876,0.825,5
kakao_541737858,율전동,541737858,http://place.map.kakao.com/541737858,done,50,50,0,False,True,38,12,0.24,0.580784,0.016251,0.996094,0,0.410392,41.04,0.89542,0.2,1
kakao_1578043317,육가든,1578043317,http://place.map.kakao.com/1578043317,done,50,50,0,False,True,41,9,0.18,0.540887,0.052551,0.973633,1,0.360443,36.04,-0.070436,0.625,4
kakao_18829773,황소마을곱창,18829773,http://place.map.kakao.com/18829773,done,50,50,0,False,True,38,12,0.24,0.562005,0.027176,0.968262,1,0.401002,40.1,0.713853,0.275,2
kakao_148202780,윤실장초밥 성대점,148202780,http://place.map.kakao.com/148202780,done,50,50,0,False,True,39,11,0.22,0.564029,0.015518,0.972168,0,0.392015,39.2,0.540057,0.3,2
kakao_1673819877,금별맥주 성균관대역점,1673819877,http://place.map.kakao.com/1673819877,done,50,50,0,False,True,46,4,0.08,0.481929,0.012123,0.918457,1,0.280965,28.1,-1.607321,0.95,5
kakao_1328628226,기울어진뚝배기 수원성대점,1328628226,http://place.map.kakao.com/1328628226,done,50,50,0,False,True,40,10,0.2,0.537506,0.015869,0.996094,0,0.368753,36.88,0.090247,0.525,3
kakao_1067364809,포케올데이 수원성대점,1067364809,http://place.map.kakao.com/1067364809,done,50,50,0,False,True,41,9,0.18,0.54411,0.086304,0.996094,1,0.362055,36.21,-0.039272,0.575,3
kakao_885469418,유가네닭갈비 성균관대역점,885469418,http://place.map.kakao.com/885469418,done,50,50,0,False,True,35,15,0.3,0.565357,0.019562,0.996094,0,0.432679,43.27,1.326376,0.075,1
kakao_206089741,면식당 수원성균관대점,206089741,http://place.map.kakao.com/206089741,done,50,50,0,False,True,32,18,0.36,0.580311,0.000704,0.988281,0,0.470155,47.02,2.051068,0.025,1
kakao_15818685,이라면 본점,15818685,http://place.map.kakao.com/15818685,done,50,50,0,False,True,39,11,0.22,0.582827,0.052612,0.992188,0,0.401414,40.14,0.721804,0.25,2
kakao_938268316,노꼬치킨 수원성균관대점,938268316,http://place.map.kakao.com/938268316,done,50,50,0,False,True,39,11,0.22,0.50326,0.007488,0.932129,2,0.36163,36.16,-0.04749,0.6,3
kakao_1540805623,만복반점,1540805623,http://place.map.kakao.com/1540805623,done,50,50,0,False,True,38,12,0.24,0.570795,0.019745,0.974121,0,0.405398,40.54,0.798844,0.225,2
kakao_929132172,담은샤브칼국수 직영1호점,929132172,http://place.map.kakao.com/929132172,done,50,50,0,False,True,42,8,0.16,0.577922,0.095337,0.973633,0,0.368961,36.9,0.094272,0.5,3
kakao_1324929519,감성 성대점,1324929519,http://place.map.kakao.com/1324929519,done,50,50,0,False,True,41,9,0.18,0.507324,0.037689,0.996094,0,0.343662,34.37,-0.394943,0.7,4
kakao_1594934927,옛이야기,1594934927,http://place.map.kakao.com/1594934927,done,33,33,0,False,True,25,8,0.242424,0.590513,0.190796,0.972168,0,0.416469,41.65,1.012927,0.125,1
kakao_27258679,만다,27258679,http://place.map.kakao.com/27258679,done,50,50,0,False,True,42,8,0.16,0.579767,0.064636,0.976074,0,0.369883,36.99,0.112105,0.475,3
